Data downloaded from OMNIWeb and processed by omniweb_read.py

No AlphaRatio was considered

#TIMEDELAY
0.0

#START
 2024 10 09 01 45 00 000    3.67     5.83     2.55  -456.10    -27.20    -62.30    7.83    213969.0
 2024 10 09 01 46 00 000    2.29     5.95     2.99  -454.50    -25.50    -58.50    7.69    207314.0
 2024 10 09 01 47 00 000    1.91     6.15     2.85  -452.90    -23.70    -54.60    7.54    200515.0
 2024 10 09 01 48 00 000    2.03     5.87     3.33  -452.90    -23.70    -54.60    7.54    200515.0
 2024 10 09 01 49 00 000    2.49     6.09     2.73  -448.70    -21.70    -50.50    8.49    250214.0
 2024 10 09 01 50 00 000    2.79     6.30     1.46  -448.70    -21.70    -50.50    8.49    250214.0
 2024 10 09 01 51 00 000    2.72     6.43     0.56  -448.70    -21.70    -50.50    8.49    250214.0
 2024 10 09 01 52 00 000    3.10     6.11     0.23  -448.70    -21.70    -50.50    8.49    250214.0
 2024 10 09 01 53 00 000    3.58     5.09     0.92  -448.70    -21.70    -50.50    8.49    250214.0
 2024 10 09 01 54 00 000    2.65     1.57     3.60  -460.50      0.70    -60.30    7.82    223353.0
 2024 10 09 01 55 00 000    2.55     1.16     4.32  -460.50      0.70    -60.30    7.82    223353.0
 2024 10 09 01 56 00 000    2.76     1.55     5.00  -460.50      0.70    -60.30    7.82    223353.0
 2024 10 09 01 57 00 000    2.54     1.49     5.76  -460.50      0.70    -60.30    7.82    223353.0
 2024 10 09 01 58 00 000    2.75     1.84     5.83  -460.50      0.70    -60.30    7.82    223353.0
 2024 10 09 01 59 00 000    3.13     2.42     5.31  -453.80      4.60    -66.30    8.05    236706.0
 2024 10 09 02 00 00 000    2.41     4.61     0.54  -450.40    -10.60    -48.40    7.90    220136.0
 2024 10 09 02 01 00 000    1.76     6.37    -0.64  -448.90    -17.20    -40.60    7.84    212949.0
 2024 10 09 02 02 00 000    0.80     5.84    -2.53  -443.70    -21.10    -23.30    7.33    200655.0
 2024 10 09 02 03 00 000    0.34     5.55    -2.58  -443.70    -21.10    -23.30    7.33    200655.0
 2024 10 09 02 04 00 000   -0.36     5.38    -2.34  -443.70    -21.10    -23.30    7.33    200655.0
 2024 10 09 02 05 00 000   -0.82     5.44    -1.40  -429.90    -24.90    -17.60    7.75    206975.0
 2024 10 09 02 06 00 000   -1.56     5.33    -0.96  -429.90    -24.90    -17.60    7.75    206975.0
 2024 10 09 02 07 00 000   -0.17     5.87    -0.35  -429.90    -24.90    -17.60    7.75    206975.0
